,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
201,202,Samoa,"7,185",,13 ,,"1,605",,"5,567",3,"35,784",65,"53,893","268,405","200,790 "
202,203,St. Vincent Grenadines,"6,771",,106 ,,"6,641",,24,,"60,686",950,"98,813","885,620","111,575 "
203,204,Vanuatu,"6,537",,12 ,,"5,899",,626,2,"20,423",37,"24,976","78,032","320,075 "
204,205,British Virgin Islands,"6,296",,62 ,,N/A,N/A,N/A,1,"205,792","2,027","102,862","3,362,163","30,594 "
205,206,Sao Tome and Principe,"5,953",,73 ,,"5,875",,5,,"26,283",322,"29,036","128,199","226,492 "
206,207,Turks and Caicos,"5,941",,36 ,,"5,862",,43,4,"149,795",908,"478,593","12,067,094","39,661 "
207,208,Saint Kitts and Nevis,"5,561",,43 ,,"5,517",,1,,"103,217",798,"65,141","1,209,069","53,877 "
208,209,Cook Islands,"4,609",, ,,"3,973",,636,,"261,979",,"15,740","894,674","17,593 "
209,210,St. Barth,"4,432",,6 ,,N/A,N/A,N/A,,"446,279",604,"78,646","7,919,243","9,931 "
210,211,Palau,"4,396",,6 ,,"3,879",,511,1,"240,890",329,"45,500","2,493,287","18,249 "
211,212,Kiribati,"3,076",,13 ,,"2,597",,466,3,"25,059",106,,,"122,752 "
212,213,Anguilla,"2,731",,9 ,,"2,716",,6,4,"179,152",590,"51,382","3,370,638","15,244 "
213,214,Saint Pierre Miquelon,"2,641",,1 ,,"2,449",,191,1,"459,864",174,"22,941","3,994,602","5,743 "
214,216,Wallis and Futuna,454,,7 ,,438,,9,,"41,713",643,"20,508","1,884,234","10,884 "
215,217,Montserrat,183,,2 ,,174,,7,,"36,622",400,"9,700","1,941,165","4,997 "
216,218,Falkland Islands,128,, ,,N/A,N/A,N/A,,"34,954",,"8,632","2,357,182","3,662 "
217,221,Marshall Islands,15,, ,,7,,8,,250,,,,"59,910 "
218,224,Niue,8,, ,,7,,1,,"4,860",,,,"1,646 "
219,228,China,"199,074","+2,988","4,686 ",+12,"163,726","+3,127","30,662",237,138,3,"160,000,000","111,163","1,439,323,776 "
220,Total:,"508,690,171","+180,460","6,240,620",+431,"460,944,770","+105,759","41,504,781","41,603","65,260.2",800.6,,,,All
