,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
194,195,Niger,"8,908",,309 ,,"8,498",,101,1,346,12
195,196,Guinea-Bissau,"8,185",,171 ,,"7,476",,538,6,"3,989",83
196,197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,971",177
197,198,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,929,15
198,199,Antigua and Barbuda,"7,567",,135 ,,"7,387",,45,1,"76,136","1,358"
199,200,Liberia,"7,432",,294 ,,"5,747",,"1,391",2,"1,410",56
200,201,Chad,"7,396",,193 ,,"4,874",,"2,329",,428,11
201,202,Samoa,"6,794",,13 ,,"1,605",,"5,176",4,"33,837",65
202,203,St. Vincent Grenadines,"6,769",,106 ,,"6,641",,22,,"60,668",950
203,204,Vanuatu,"6,458",,7 ,,"5,638",,813,,"20,178",22
204,205,British Virgin Islands,"6,162",,62 ,,N/A,N/A,N/A,1,"201,419","2,027"
205,206,Sao Tome and Principe,"5,953",,73 ,,"5,875",,5,,"26,285",322
206,207,Turks and Caicos,"5,941",,36 ,,"5,862",,43,4,"149,798",908
207,208,Saint Kitts and Nevis,"5,561",,43 ,,"5,517",,1,,"103,219",798
208,209,Cook Islands,"4,490",, ,,"3,916",,574,,"255,215",
209,210,St. Barth,"4,432",,6 ,,N/A,N/A,N/A,,"446,279",604
210,211,Palau,"4,279",,6 ,,"3,837",,436,,"234,479",329
211,212,Kiribati,"3,076",,13 ,,"2,597",,466,3,"25,060",106
212,213,Anguilla,"2,731",,9 ,,"2,716",,6,4,"179,152",590
213,214,Saint Pierre Miquelon,"2,537",,1 ,,"2,449",,87,1,"441,755",174
214,216,Wallis and Futuna,454,,7 ,,438,,9,,"41,709",643
215,217,Montserrat,177,,2 ,,174,,1,,"35,421",400
216,218,Falkland Islands,128,, ,,N/A,N/A,N/A,,"34,954",
217,221,Marshall Islands,15,, ,,7,,8,,250,
218,224,Niue,8,, ,,7,,1,,"4,860",
219,228,China,"196,086","+2,133","4,674 ",+11,"160,599","+2,730","30,813",251,136,3
220,Total:,"507,854,253","+196,993","6,236,480",+471,"460,229,752","+316,099","41,388,021","41,825","65,153.0",800.1,
