,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
28,28,Belgium,2022-04-26,4036113,0,31382,0,3759930,20016,244801,156,345525,2687.0,33531891,2870614,11681086
29,29,Czechia,2022-04-26,3898409,2255,40110,10,3841869,1108,16430,39,362811,3733.0,55140253,5131709,10745007
30,30,Portugal,2022-04-26,3791744,0,22162,0,0,0,0,61,373836,2185.0,41060137,4048205,10142802
31,31,South Africa,2022-04-26,3769927,5062,100348,15,3635429,983,34150,175,62144,1654.0,24370285,401722,60664519
32,32,Canada,2022-04-26,3714127,7240,38901,54,3440493,8549,234733,471,96868,1015.0,60712755,1583444,38342208
33,33,Philippines,2022-04-26,3684835,123,60195,1,3613060,1181,11580,289,32834,536.0,29468174,262580,112225532
34,34,Switzerland,2022-04-26,3602489,2308,13836,1,3419641,24263,169012,87,410803,1578.0,20767523,2368183,8769392
35,35,Peru,2022-04-26,3562300,623,212769,8,0,0,0,350,105379,6294.0,29702409,878650,33804616
36,36,Chile,2022-04-26,3549327,1350,57387,11,3393221,7578,98719,266,182825,2956.0,36810584,1896109,19413751
37,37,Greece,2022-04-26,3290895,4925,28976,43,3187323,9242,74596,267,318553,2805.0,79073823,7654221,10330747
38,38,Denmark,2022-04-26,2962238,1356,6116,11,2934893,2490,21229,13,508173,1049.0,127172757,21816544,5829189
39,39,Romania,2022-04-26,2889363,724,65430,2,2606660,0,217273,224,152032,3443.0,22615426,1189971,19005028
40,40,Sweden,2022-04-26,2498388,0,18656,0,2465572,0,14160,19,244617,1827.0,18493218,1810672,10213458
41,41,Iraq,2022-04-26,2324531,147,25208,1,2296824,276,2499,20,55533,602.0,18462168,441062,41858482
42,42,Serbia,2022-04-26,2003334,981,15969,9,1971796,2664,15569,27,230970,1841.0,9450942,1089627,8673560
43,43,Bangladesh,2022-04-26,1952602,19,29127,0,1894123,364,29352,1297,11646,174.0,13973221,83340,167664530
44,44,Hungary,2022-04-26,1895677,1399,46133,32,1792616,4425,56928,37,197140,4798.0,11317807,1176992,9615875
45,45,Slovakia,2022-04-26,1776576,1398,19862,10,1734727,3001,21987,76,325116,3635.0,7067460,1293356,5464437
46,46,Jordan,2022-04-26,1694216,0,14048,0,1678941,0,1227,124,163112,1352.0,16670254,1604946,10386802
47,47,Georgia,2022-04-26,1654375,62,16800,0,1636108,104,1467,0,416165,4226.0,16816024,4230145,3975283
48,48,Pakistan,2022-04-26,1528061,105,30369,0,1494141,0,3551,142,6682,133.0,28083290,122813,228667501
49,49,Ireland,2022-04-26,1514035,1223,7028,12,1430598,6920,76409,33,300535,1395.0,12041339,2390199,5037798
50,50,Norway,2022-04-26,1424672,492,2871,0,0,0,0,20,259120,522.0,11002430,2001130,5498109
51,51,Kazakhstan,2022-04-26,1305473,8,13660,0,1291009,12,804,24,68050,712.0,11575012,603370,19183944
52,52,Hong Kong,2022-04-26,1202638,347,9274,7,0,0,0,115,158091,1219.0,44972952,5911837,7607272
53,53,Singapore,2022-04-26,1187914,3688,1333,2,1115829,0,70752,7,200195,225.0,23712995,3996275,5933774
54,54,Morocco,2022-04-26,1164774,57,16066,0,1148310,38,398,293,30893,426.0,11237010,298034,37703827
55,55,Bulgaria,2022-04-26,1154646,1140,36879,23,965243,4957,152524,102,168472,5381.0,9815490,1432162,6853618
56,56,Croatia,2022-04-26,1118526,704,15801,11,1098596,484,4129,24,275542,3892.0,4770929,1175289,4059368
57,57,Cuba,2022-04-26,1102164,196,8525,0,1092521,322,1118,23,97415,753.0,12920253,1141962,11314080
58,58,Lebanon,2022-04-26,1096530,68,10380,2,1080401,946,5749,186,161968,1533.0,4795578,708354,6770027
59,59,Lithuania,2022-04-26,1055657,776,9078,1,1019176,1804,27403,21,397844,3421.0,8226057,3100146,2653442
60,60,Tunisia,2022-04-26,1040193,661,28550,17,0,0,0,29,86374,2371.0,4572976,379725,12042858
61,61,Slovenia,2022-04-26,1006377,1541,6585,3,984503,2663,15289,29,483962,3167.0,2642603,1270815,2079456
62,62,Finland,2022-04-26,1000472,0,3638,0,46000,0,950834,31,180060,655.0,10644579,1915758,5556328
63,63,Nepal,2022-04-26,978770,8,11951,0,966558,18,261,0,32531,397.0,5624458,186941,30086842
64,64,Belarus,2022-04-26,978117,155,6931,3,928536,0,42650,0,103574,734.0,13110627,1388295,9443687
65,65,Bolivia,2022-04-26,904576,97,21908,0,856331,527,26337,220,75623,1832.0,2699040,225640,11961722
66,66,UAE,2022-04-26,897558,207,2302,0,880481,336,14775,0,88805,228.0,154911027,15326989,10107075
67,67,New Zealand,2022-04-26,896495,6456,649,5,838863,8306,56983,0,179224,130.0,6987514,1396916,5002100
68,68,Uruguay,2022-04-26,895775,0,7197,0,886654,0,1924,18,256261,2059.0,6091188,1742550,3495560
69,69,Ecuador,2022-04-26,868285,0,35581,0,0,0,0,759,47895,1963.0,2470170,136257,18128779
70,70,Costa Rica,2022-04-26,852074,711,8405,1,832853,444,10816,45,164542,1623.0,4291131,828649,5178467
71,71,Guatemala,2022-04-26,843269,616,17534,9,823403,659,2332,5,45542,947.0,4426414,239054,18516348
72,72,Latvia,2022-04-26,818030,591,5755,11,804245,935,8030,9,442562,3114.0,7160744,3874031,1848396
73,73,Azerbaijan,2022-04-26,792502,6,9707,0,782650,4,145,0,76905,942.0,6797352,659624,10304893
74,74,Panama,2022-04-26,772830,744,8183,1,760639,173,4008,8,174143,1844.0,5843308,1316680,4437910
75,75,Saudi Arabia,2022-04-26,753632,106,9082,3,741058,187,3492,45,21053,254.0,41849069,1169072,35796840
76,76,Sri Lanka,2022-04-26,663239,44,16503,1,646110,1,626,0,30740,765.0,6486117,300616,21576057
77,77,Paraguay,2022-04-26,649034,0,18795,0,624673,0,5566,5,89014,2578.0,2623300,359780,7291397
78,78,Kuwait,2022-04-26,631409,115,2555,0,628090,191,764,8,143990,583.0,8007805,1826148,4385079
79,79,Myanmar,2022-04-26,612785,15,19434,0,591715,49,1636,0,11127,353.0,7915960,143740,55071224
80,80,Palestine,2022-04-26,581940,0,5353,0,576242,0,345,17,109462,1007.0,3078533,579068,5316355
81,81,Dominican Republic,2022-04-26,579114,0,4376,0,574446,0,292,14,52431,396.0,3265645,295663,11045164
82,82,Estonia,2022-04-26,570931,529,2533,0,508159,423,60239,4,429868,1907.0,3317097,2497526,1328153
83,83,Bahrain,2022-04-26,567173,494,1475,0,562140,492,3558,3,313575,815.0,9706781,5366619,1808733
84,84,Venezuela,2022-04-26,522243,9,5706,0,515621,84,916,230,18460,202.0,3359014,118736,28289854
85,85,Moldova,2022-04-26,516986,0,11489,0,504142,0,1355,49,128701,2860.0,3216305,800681,4016964
86,86,Egypt,2022-04-26,515645,0,24613,0,442182,0,48850,122,4872,233.0,3693367,34898,105833319
87,87,Libya,2022-04-26,501904,0,6430,0,490973,0,4501,101,71286,913.0,2477219,351842,7040705
88,88,Cyprus,2022-04-26,470481,0,1011,0,124370,0,345100,60,384601,826.0,9477138,7747209,1223297
89,89,Ethiopia,2022-04-26,470468,26,7510,0,455039,64,7919,15,3916,63.0,4772777,39732,120124639
90,90,Mongolia,2022-04-26,469645,50,2177,0,313256,0,154212,192,139195,645.0,4030048,1194441,3374002
91,91,Armenia,2022-04-26,422838,10,8622,0,410588,17,3628,0,142212,2900.0,3039934,1022416,2973286
92,92,Honduras,2022-04-26,422275,0,10892,0,131100,0,280283,105,41439,1069.0,1263329,123975,10190206
93,93,Oman,2022-04-26,389099,25,4258,0,384192,20,649,4,72838,797.0,25000000,4679893,5342003
94,94,Bosnia and Herzegovina,2022-04-26,376897,56,15764,2,192218,0,168915,0,116189,4860.0,1756028,541346,3243821
95,95,Réunion,2022-04-26,374295,0,742,0,355605,0,17948,10,412720,818.0,1603660,1768291,906898
96,96,Qatar,2022-04-26,364371,71,677,0,362922,146,772,3,129771,241.0,3428837,1221181,2807805
97,97,Kenya,2022-04-26,323723,5,5649,0,317923,4,151,0,5789,101.0,3588732,64178,55918167
98,98,Zambia,2022-04-26,319431,115,3976,0,314577,53,878,0,16536,206.0,3419145,177002,19316962
99,99,North Macedonia,2022-04-26,309229,21,9277,1,299391,89,561,0,148438,4453.0,2012168,965894,2083219
100,100,Botswana,2022-04-26,305859,0,2688,0,303026,0,145,1,125470,1103.0,2026898,831481,2437697
101,101,Albania,2022-04-26,274862,28,3496,0,271030,114,336,2,95701,1217.0,1801917,627387,2872099
102,102,Algeria,2022-04-26,265772,1,6875,0,178350,1,80547,6,5869,152.0,230861,5098,45286524
103,103,Nigeria,2022-04-26,255685,0,3143,0,249890,0,2652,11,1187,15.0,5036813,23384,215399392
104,104,Zimbabwe,2022-04-26,247667,69,5469,1,241500,40,698,12,16235,359.0,2246350,147251,15255204
105,105,Uzbekistan,2022-04-26,238510,7,1637,0,236526,11,347,23,6944,48.0,1377915,40116,34348650
106,106,Luxembourg,2022-04-26,235864,588,1062,0,224234,22,10568,2,365998,1648.0,4219947,6548229,644441
107,107,Montenegro,2022-04-26,234876,116,2714,1,231492,83,670,6,373881,4320.0,2447383,3895804,628210
108,108,Mozambique,2022-04-26,225367,1,2201,0,223106,0,60,13,6862,67.0,1310781,39911,32842294
109,109,Laos,2022-04-26,206042,543,736,2,7660,0,197646,0,27594,99.0,1232128,165010,7466975
110,110,Kyrgyzstan,2022-04-26,200990,0,2991,0,196393,7,1606,131,29912,445.0,1907195,283837,6719339
